point_id,angle,direction,filename
-JaaToDhDgbmPyv_gmBDJw,90,right,pano_-JaaToDhDgbmPyv_gmBDJw_h90.jpg
-JaaToDhDgbmPyv_gmBDJw,180,back,pano_-JaaToDhDgbmPyv_gmBDJw_h180.jpg
-JaaToDhDgbmPyv_gmBDJw,270,left,pano_-JaaToDhDgbmPyv_gmBDJw_h270.jpg
-Lms-Z4kBs9nfVUuPoAKKQ,0,front,pano_-Lms-Z4kBs9nfVUuPoAKKQ_h0.jpg
-Lms-Z4kBs9nfVUuPoAKKQ,90,right,pano_-Lms-Z4kBs9nfVUuPoAKKQ_h90.jpg
-Lms-Z4kBs9nfVUuPoAKKQ,180,back,pano_-Lms-Z4kBs9nfVUuPoAKKQ_h180.jpg
-Lms-Z4kBs9nfVUuPoAKKQ,270,left,pano_-Lms-Z4kBs9nfVUuPoAKKQ_h270.jpg
-MBIB09Pkw2GD8858EZdhw,0,front,pano_-MBIB09Pkw2GD8858EZdhw_h0.jpg
-MBIB09Pkw2GD8858EZdhw,90,right,pano_-MBIB09Pkw2GD8858EZdhw_h90.jpg
-MBIB09Pkw2GD8858EZdhw,180,back,pano_-MBIB09Pkw2GD8858EZdhw_h180.jpg
-MBIB09Pkw2GD8858EZdhw,270,left,pano_-MBIB09Pkw2GD8858EZdhw_h270.jpg
-Ni-rQYLpm_TbdIA41Mu-Q,0,front,pano_-Ni-rQYLpm_TbdIA41Mu-Q_h0.jpg
-Ni-rQYLpm_TbdIA41Mu-Q,90,right,pano_-Ni-rQYLpm_TbdIA41Mu-Q_h90.jpg
-Ni-rQYLpm_TbdIA41Mu-Q,180,back,pano_-Ni-rQYLpm_TbdIA41Mu-Q_h180.jpg
-Ni-rQYLpm_TbdIA41Mu-Q,270,left,pano_-Ni-rQYLpm_TbdIA41Mu-Q_h270.jpg
-OPqVt-8VdIxaIEXariR8Q,0,front,pano_-OPqVt-8VdIxaIEXariR8Q_h0.jpg
-OPqVt-8VdIxaIEXariR8Q,90,right,pano_-OPqVt-8VdIxaIEXariR8Q_h90.jpg
-OPqVt-8VdIxaIEXariR8Q,180,back,pano_-OPqVt-8VdIxaIEXariR8Q_h180.jpg
-OPqVt-8VdIxaIEXariR8Q,270,left,pano_-OPqVt-8VdIxaIEXariR8Q_h270.jpg
-OyX2o7N0rygDwf68slpRA,0,front,pano_-OyX2o7N0rygDwf68slpRA_h0.jpg
-OyX2o7N0rygDwf68slpRA,90,right,pano_-OyX2o7N0rygDwf68slpRA_h90.jpg
-OyX2o7N0rygDwf68slpRA,180,back,pano_-OyX2o7N0rygDwf68slpRA_h180.jpg
-OyX2o7N0rygDwf68slpRA,270,left,pano_-OyX2o7N0rygDwf68slpRA_h270.jpg
-Q3v7TPJOyBkamFiGXviCg,0,front,pano_-Q3v7TPJOyBkamFiGXviCg_h0.jpg
-Q3v7TPJOyBkamFiGXviCg,90,right,pano_-Q3v7TPJOyBkamFiGXviCg_h90.jpg
